experiment,discount,horizon,c_samples,r_samples,run,t,r,std,q_r,q_std,sample,q_sample
tiger,0.9,1,5,250,1,49,-1.8400000000000003,7.470903559811223,-1.6600000000000001,7.452811550012519,5,5
tiger,0.9,1,5,250,2,0,-1.42,7.421832657773955,1.88,6.088152429103594,5,5
tiger,0.9,1,5,250,2,1,-1.0,0.0,-2.1400000000000006,7.491355017618642,5,5
tiger,0.9,1,5,250,2,2,3.38,4.655706176295922,-1.6000000000000005,7.445804187594513,5,5
tiger,0.9,1,5,250,2,3,-2.68,7.497839688870388,-2.1999999999999997,7.493997598078078,5,5
tiger,0.9,1,5,250,2,4,-3.0400000000000005,7.480534740244176,-3.2800000000000002,7.4593297286016265,5,5
tiger,0.9,1,5,250,2,5,-3.4000000000000004,7.445804187594514,-2.8600000000000003,7.491355017618642,5,5
tiger,0.9,1,5,250,2,6,-1.7200000000000002,7.459329728601626,-1.8400000000000003,7.470903559811223,5,5
tiger,0.9,1,5,250,2,7,-2.9200000000000004,7.488230765674893,-2.62,7.4990399385521345,5,5
tiger,0.9,1,5,250,2,8,-2.5,7.5,-1.54,7.438306258819948,5,5
tiger,0.9,1,5,250,2,9,-2.62,7.4990399385521345,-3.2800000000000007,7.459329728601626,5,5
tiger,0.9,1,5,250,2,10,-3.4000000000000004,7.445804187594514,-2.5,7.5,5,5
tiger,0.9,1,5,250,2,11,-1.42,7.421832657773955,-2.0199999999999996,7.484624239065044,5,5
tiger,0.9,1,5,250,2,12,-2.68,7.497839688870388,-2.68,7.497839688870388,5,5
tiger,0.9,1,5,250,2,13,-2.0199999999999996,7.484624239065044,-1.9000000000000004,7.475961476626268,5,5
tiger,0.9,1,5,250,2,14,-1.0,0.0,-2.9200000000000004,7.488230765674893,5,5
tiger,0.9,1,5,250,2,15,1.5800000000000005,6.293139121297097,-2.9200000000000004,7.488230765674893,5,5
tiger,0.9,1,5,250,2,16,-3.6400000000000006,7.41285370151064,-2.0799999999999996,7.488230765674893,5,5
tiger,0.9,1,5,250,2,17,-2.8600000000000003,7.491355017618642,-2.44,7.499759996159876,5,5
tiger,0.9,1,5,250,2,18,-1.0,0.0,-3.0400000000000005,7.480534740244176,5,5
tiger,0.9,1,5,250,2,19,2.900000000000001,5.204805471869241,-1.8999999999999995,7.475961476626268,5,5
tiger,0.9,1,5,250,2,20,-1.0,0.0,-2.8600000000000003,7.491355017618642,5,5
tiger,0.9,1,5,250,2,21,2.8400000000000003,5.266345981798005,-2.26,7.496159016456361,5,5
tiger,0.9,1,5,250,2,22,-2.0799999999999996,7.488230765674893,-1.0,0.0,5,5
tiger,0.9,1,5,250,2,23,-1.7200000000000002,7.459329728601626,3.2,4.874423042781576,5,5
tiger,0.9,1,5,250,2,24,-1.0,0.0,-2.5,7.5,5,5
tiger,0.9,1,5,250,2,25,-1.0,0.0,-2.44,7.499759996159876,5,5
tiger,0.9,1,5,250,2,26,4.3999999999999995,2.9393876913398134,-1.0,0.0,5,5
tiger,0.9,1,5,250,2,27,-2.38,7.4990399385521345,3.2,4.874423042781576,5,5
tiger,0.9,1,5,250,2,28,-2.9800000000000004,7.484624239065044,-2.9800000000000004,7.484624239065044,5,5
tiger,0.9,1,5,250,2,29,-1.9599999999999995,7.480534740244176,-2.92,7.488230765674893,5,5
tiger,0.9,1,5,250,2,30,-2.74,7.496159016456361,-2.0199999999999996,7.484624239065044,5,5
tiger,0.9,1,5,250,2,31,-2.44,7.499759996159876,-3.4600000000000004,7.438306258819948,5,5
tiger,0.9,1,5,250,2,32,-2.9200000000000004,7.488230765674893,-3.22,7.4653600047151105,5,5
tiger,0.9,1,5,250,2,33,-3.2800000000000002,7.4593297286016265,-3.16,7.470903559811223,5,5
tiger,0.9,1,5,250,2,34,-1.9600000000000004,7.480534740244176,-2.68,7.497839688870388,5,5
