experiment,discount,horizon,c_sample,r_sample,run,t,r,std,q_r,q_std,q_sample,c_l,q_l
tiger,0.9,2,5,250,2,43,2.78,5.326499788791885,2.48,5.607994293863003,9,15.186492972132811,9.24464093889704
tiger,0.9,2,5,250,2,44,-1.0,0.0,-1.0,0.0,8,12.683740428133122,8.622863738996909
tiger,0.9,2,5,250,2,45,-1.0,0.0,2.5399999999999996,5.5541335958005185,11,12.79398932242798,9.118722393414162
tiger,0.9,2,5,250,2,46,4.819999999999999,1.6332789106579442,-1.0,0.0,8,15.158607342924931,8.522977188611469
tiger,0.9,2,5,250,2,47,-1.0,0.0,2.78,5.326499788791885,10,12.283832539191703,9.308327196116974
tiger,0.9,2,5,250,2,48,2.72,5.385313361356051,-1.0,0.0,8,14.900485089231136,8.54666373012385
tiger,0.9,2,5,250,2,49,-2.44,7.499759996159876,2.0600000000000005,5.954527689078287,8,16.745232131526457,8.754241982757556
tiger,0.9,2,5,250,3,0,3.62,4.33538925588003,-1.0,0.0,8,13.987001060911734,8.717637213027437
tiger,0.9,2,5,250,3,1,-2.44,7.499759996159876,-1.0,0.0,8,12.512356437492627,8.8084239159021
tiger,0.9,2,5,250,3,2,-1.0,0.0,4.94,0.94678403028357,8,12.144286274065031,9.612649942670835
tiger,0.9,2,5,250,3,3,3.08,5.011347124277064,-3.3399999999999994,7.452811550012519,8,12.01512071500571,8.48649527680762
tiger,0.9,2,5,250,3,4,-1.0,0.0,-2.26,7.496159016456361,8,12.144547255384428,8.633531960404406
tiger,0.9,2,5,250,3,5,3.5600000000000005,4.418868633485272,-1.2999999999999998,7.403377607551839,8,14.389395225270814,8.542291554787788
tiger,0.9,2,5,250,3,6,-3.3400000000000003,7.452811550012519,-1.9000000000000004,7.475961476626268,8,12.76623179888363,8.512025727386732
tiger,0.9,2,5,250,3,7,-2.32,7.497839688870388,-1.0,0.0,8,12.144724114254622,8.694676603434974
tiger,0.9,2,5,250,3,8,-1.0,0.0,3.3200000000000003,4.730496802662485,8,12.098283473198181,8.54103740871705
tiger,0.9,2,5,250,3,9,2.24,5.81226289838992,-1.0,0.0,8,15.4609711708998,8.550677585338029
tiger,0.9,2,5,250,3,10,-1.0,0.0,2.96,5.141828468550853,8,12.13620531121153,8.61009350614879
tiger,0.9,2,5,250,3,11,3.38,4.655706176295922,-1.0,0.0,8,15.50730294870743,8.496037959653707
tiger,0.9,2,5,250,3,12,-1.0,7.3484692283495345,3.6800000000000006,4.2494234903101855,8,12.599916495939414,8.746100127623642
tiger,0.9,2,5,250,3,13,-2.0800000000000005,7.488230765674893,-2.0199999999999996,7.484624239065044,9,12.107416501565742,8.794924954537628
tiger,0.9,2,5,250,3,14,-4.24,7.295368393713918,-3.04,7.480534740244176,8,12.85915882713493,8.497612234554463
tiger,0.9,2,5,250,3,15,-1.0,0.0,-1.0,0.0,8,12.075609752044214,8.544468741802854
tiger,0.9,2,5,250,3,16,1.88,6.088152429103594,2.420000000000001,5.6607066696659,8,12.49372998804163,8.632553583835874
tiger,0.9,2,5,250,3,17,-3.1,7.475961476626268,-1.0,0.0,8,13.064423163302909,8.491326168740798
tiger,0.9,2,5,250,3,18,-1.0,0.0,-1.0,0.0,8,12.131119732401306,8.592418086580452
tiger,0.9,2,5,250,3,19,1.88,6.088152429103594,4.64,2.295735176365079,8,15.175095084176421,9.570524695121913
tiger,0.9,2,5,250,3,20,-3.2800000000000002,7.4593297286016265,-1.0,0.0,8,12.302371155245924,8.497680119634024
tiger,0.9,2,5,250,3,21,-1.0,0.0,-1.0,0.0,8,12.232938711611485,8.509584790183741
tiger,0.9,2,5,250,3,22,3.62,4.33538925588003,-1.0,0.0,8,13.249309930481415,8.822476871277354
tiger,0.9,2,5,250,3,23,-1.0,0.0,3.26,4.803373814310104,10,12.202677159637584,9.425638371945771
tiger,0.9,2,5,250,3,24,3.26,4.803373814310104,-1.0,0.0,8,17.494777006696765,8.503503901473751
tiger,0.9,2,5,250,3,25,-1.0,0.0,-1.0,0.0,8,12.977762318241714,8.551949620108054
tiger,0.9,2,5,250,3,26,3.26,4.803373814310104,4.64,2.295735176365079,8,16.54978916715917,8.705687627882458
tiger,0.9,2,5,250,3,27,-1.0,0.0,-1.0,0.0,8,12.181582245679744,8.505073495234562
tiger,0.9,2,5,250,3,28,-1.0,0.0,2.9,5.204805471869242,8,12.143404358467839,8.934826619968378
tiger,0.9,2,5,250,3,29,-3.94,7.360461942025107,-2.74,7.496159016456361,8,12.721892479618953,8.504710777645798
tiger,0.9,2,5,250,3,30,-3.1,7.475961476626268,-3.4600000000000004,7.438306258819948,8,13.173796394055596,8.55640105198415
tiger,0.9,2,5,250,3,31,-2.1400000000000006,7.491355017618642,-3.22,7.4653600047151105,8,12.094169073095891,8.501048082260452
tiger,0.9,2,5,250,3,32,-2.8600000000000003,7.491355017618642,-3.4600000000000004,7.438306258819948,8,13.3138343616753,8.556152531070666
tiger,0.9,2,5,250,3,33,-1.0,0.0,-1.0,0.0,8,12.06481274068992,8.504855511244694
tiger,0.9,2,5,250,3,34,1.7000000000000006,6.2136945531623935,3.5600000000000005,4.418868633485272,9,15.763256408640391,9.144303093131757
tiger,0.9,2,5,250,3,35,-3.2800000000000002,7.4593297286016265,-1.0,0.0,8,12.55173691658267,8.492014584938136
tiger,0.9,2,5,250,3,36,-1.0,0.0,2.3600000000000003,5.712302512997714,8,12.153752362874318,8.893870478345208
tiger,0.9,2,5,250,3,37,2.78,5.326499788791885,-1.0,0.0,8,12.094405987980299,8.546673564094247
tiger,0.9,2,5,250,3,38,-1.9599999999999995,7.480534740244176,2.72,5.385313361356051,8,12.050123013662965,9.48293340171592
tiger,0.9,2,5,250,3,39,-1.0,0.0,-2.8600000000000003,7.491355017618642,8,12.0758877537405,8.495181960498066
tiger,0.9,2,5,250,3,40,2.9,5.204805471869242,-0.8799999999999999,7.322950225148332,8,15.502961089384145,8.692712336895182
tiger,0.9,2,5,250,3,41,-2.56,7.499759996159876,-2.1399999999999997,7.491355017618642,8,12.224061621874826,8.645257187239629
tiger,0.9,2,5,250,3,42,-3.22,7.4653600047151105,-1.7200000000000002,7.459329728601626,8,12.102218152481125,8.600525679176863
tiger,0.9,2,5,250,3,43,-1.0,0.0,-2.98,7.484624239065044,8,12.141495713158186,8.556091491783508
tiger,0.9,2,5,250,3,44,2.4800000000000004,5.607994293863003,-1.0,0.0,8,16.577928657875844,8.519228765954201
tiger,0.9,2,5,250,3,45,-2.26,7.496159016456361,3.74,4.160817227420594,8,12.163585323652086,8.938987019143024
tiger,0.9,2,5,250,3,46,-3.3400000000000003,7.452811550012519,-3.2800000000000002,7.4593297286016265,8,12.92435542326128,8.774556569430857
tiger,0.9,2,5,250,3,47,-2.62,7.4990399385521345,-1.0,0.0,8,19.16465183762476,8.65277109482774
tiger,0.9,2,5,250,3,48,-2.38,7.4990399385521345,3.62,4.33538925588003,9,12.665254424570637,9.387429192424696
tiger,0.9,2,5,250,3,49,-1.0,0.0,-1.0,0.0,8,12.106544017206833,8.488943138925581
tiger,0.9,2,5,250,4,0,1.5199999999999996,6.331634859971001,1.4,6.406246951218787,8,12.539409545354365,8.8085364990654
tiger,0.9,2,5,250,4,1,-1.0,0.0,-1.0,0.0,8,12.050022075128393,8.494878878942163
tiger,0.9,2,5,250,4,2,2.24,5.81226289838992,3.56,4.418868633485273,8,13.306399100649312,8.933677789983541
tiger,0.9,2,5,250,4,3,-2.56,7.499759996159876,-1.0,0.0,8,12.166165475659021,8.508541897969787
tiger,0.9,2,5,250,4,4,-1.0,0.0,2.78,5.326499788791885,8,13.216229178472181,8.515729404491072
tiger,0.9,2,5,250,4,5,2.0,6.0,-1.0,0.0,8,15.031893179790845,8.512770182223992
tiger,0.9,2,5,250,4,6,-1.0,0.0,3.5,4.5,10,12.287937443067861,9.128333113495096
tiger,0.9,2,5,250,4,7,2.6,5.499090833947008,-1.0,0.0,8,12.525734168139243,8.494212357496549
tiger,0.9,2,5,250,4,8,-1.0,0.0,-1.0,0.0,8,12.795302926212313,8.659689978946231
