,experiment,discount,horizon,c_sample,r_sample,run,t,r,std,q_r,q_std,q_sample,c_l,q_l
223,tiger,0.9,1,5,250,4,23,-2.8000000000000003,7.493997598078078,-2.44,7.499759996159876,5,0,0
224,tiger,0.9,1,5,250,4,24,-3.04,7.480534740244176,-2.8600000000000003,7.491355017618642,5,0,0
225,tiger,0.9,1,5,250,4,25,-2.0800000000000005,7.488230765674893,-1.0,0.0,5,0,0
226,tiger,0.9,1,5,250,4,26,-1.0,0.0,2.1800000000000006,5.860682554105792,5,0,0
227,tiger,0.9,1,5,250,4,27,3.6800000000000006,4.2494234903101855,-2.44,7.499759996159876,5,0,0
228,tiger,0.9,1,5,250,4,28,-2.26,7.496159016456361,-1.0,0.0,5,0,0
229,tiger,0.9,1,5,250,4,29,-1.0,0.0,-7.6,5.499090833947008,5,0,0
230,tiger,0.9,1,5,250,4,30,2.78,5.326499788791885,-3.1600000000000006,7.470903559811222,5,0,0
231,tiger,0.9,1,5,250,4,31,-1.0,0.0,-1.0,0.0,5,0,0
232,tiger,0.9,1,5,250,4,32,3.14,4.943723293227484,2.72,5.385313361356051,5,0,0
233,tiger,0.9,1,5,250,4,33,-1.48,7.430316278598106,-1.0,0.0,5,0,0
234,tiger,0.9,1,5,250,4,34,-2.14,7.491355017618642,3.14,4.943723293227484,5,0,0
235,tiger,0.9,1,5,250,4,35,-2.0200000000000005,7.484624239065044,-2.74,7.496159016456361,5,0,0
236,tiger,0.9,1,5,250,4,36,-1.0,0.0,-1.9599999999999995,7.480534740244176,5,0,0
237,tiger,0.9,1,5,250,4,37,3.2,4.874423042781576,-1.0,0.0,5,0,0
238,tiger,0.9,1,5,250,4,38,-2.9800000000000004,7.484624239065044,3.5600000000000005,4.418868633485272,5,0,0
239,tiger,0.9,1,5,250,4,39,-2.32,7.497839688870388,-2.68,7.497839688870388,5,0,0
240,tiger,0.9,1,5,250,4,40,-1.7799999999999994,7.4653600047151105,-2.62,7.4990399385521345,5,0,0
241,tiger,0.9,1,5,250,4,41,-1.0,0.0,-2.92,7.488230765674893,5,0,0
242,tiger,0.9,1,5,250,4,42,-1.0,0.0,-2.8000000000000003,7.493997598078078,5,0,0
243,tiger,0.9,1,5,250,4,43,4.7,2.1,-3.28,7.459329728601626,5,0,0
244,tiger,0.9,1,5,250,4,44,-2.5,7.5,-2.32,7.497839688870388,5,0,0
245,tiger,0.9,1,5,250,4,45,-2.68,7.497839688870388,-2.74,7.496159016456361,5,0,0
